transaction_id,customer_id,customer_name,customer_email,transaction_timestamp,product_code,product_name,amount,payment_method,shipping_address,order_status,customer_feedback
TXN-20250824-000023,CUST-ASIA-0345,Richard Wilson,richard.wilson@shop.com,2025-08-24T14:20:42Z,BOOK-FICTION-8700,Python Programming,,Apple Pay,"9013 Park Ave, Chicago, IL 21542",Delivered on 01/09/2025,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20251104-000024,CUST-EU-0028,Ms. Jennifer Wilson,JENNIFER.WILSON@TEST.COM,11/04/2025 08:45 PM,BOOK-FICTION-1472,Business Magazine,€11.23,Credit Card (Mastercard),"7561 High Street, Leeds, UK, B1 1AA",Processing,Disappointed 😢
TXN-20250428-000025,CUST-EU-0283,joseph martinez,joseph.martinez@mail.com,04/28/2025 08:37 PM,HOME-FURNITURE-5634,Kitchen Mixer,£248.44,CREDIT CARD,"6181 Elm Street, Los Angeles, CA 52176",Cancelled,Not worth the price
TXN-20250429-000026,CUST-UK-0416,william wilson,WILLIAM.WILSON@TEST.COM,"April 29, 2025 at 2:09AM",BOOK-FICTION-9617,Digital Marketing eBook,$97.30,DEBIT CARD - Mastercard,"6513 Park Ave, Liverpool, UK, LS1 1AA",Processing,Disappointed 😢
TXN-20250708-000027,CUST-EU-0036,  Joseph Jones  ,joseph.jones@example.com,2025-07-08T12:23:27Z,ELEC-PHONE-6314,iPhone 15 Pro Max (256GB),£1085.77,credit_card,"1294 Oak Road, Liverpool, UK, M1 1AA",Cancelled - 10/07/2025,
TXN-20250415-000028,CUST-UK-0005,WILLIAM RODRIGUEZ,,2025-04-15T23:54:30Z,HOME-BEDDING-5949,Wall Art Decoration,$590.61,Debit Card - Visa,"360 Oak Road, Birmingham, UK, SW1A 1AA",Delivered on 24/04/2025,Average product
TXN-20250913-000029,CUST-CA-0098,,RICHARD.LOPEZ@EMAIL.COM,2025-09-13T13:26:11Z,HOME-DECOR-2476,Kitchen Mixer,$1186.17,credit_card,"4211 Oak Road, Birmingham, UK, B1 1AA",Delivered on 22/09/2025,
TXN-20240819-000030,CUST-UK-0371,MR. RICHARD RODRIGUEZ,richard.rodriguez@email.com,2024-08-19T08:14:30Z,HOME-LIGHTING-7242,Kitchen Mixer,,Credit Card (Mastercard),,Shipped (est. arrival: August 22),Amazing! Highly recommend ⭐⭐⭐⭐⭐
TXN-20250519-000031,CUST-CA-0121,Mrs. Lisa Garcia,lisa.garcia@example.com,05/19/2025 03:15 PM,HOME-FURNITURE-7070,Wall Art Decoration,$1471.96,DEBIT CARD - Mastercard,"993 Main St, New York, TX 34878",Shipped (est. arrival: May 26),Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20241207-000032,CUST-CA-0036,,sarah.anderson@example.com,2024-12-07T08:55:01Z,CLOTH-JACKET-5106,Levis Jeans 32x34,120.31,Debit Card - Visa,"859 Main St, Phoenix, NY 65176",Cancelled,Excellent quality 👍
TXN-20250407-000033,CUST-CA-0485,  Dr. Richard Anderson  ,,2025-04-07T21:20:38Z,ELEC-CAMERA-8267,iPhone 15 Pro Max (256GB),£296.07,DEBIT CARD - Mastercard,"6241 Elm Street, Birmingham, UK, LS1 1AA",Cancelled,
TXN-20251101-000034,CUST-UK-0111,Mr. Sarah Miller,sarah.miller@email.com,11/01/2025 08:05 AM,HOME-DECOR-8770,Modern Sofa Set,$1124.55,CREDIT CARD,"9203 Oak Road, Houston, IL 26021",Delivered on 07/11/2025,Arrived damaged 😠
TXN-20250603-000035,CUST-UK-0337,MR. MARY GARCIA,mary.garcia@shop.com,06/03/2025 10:53 PM,SPORT-WINTER-1430,Ski Jacket Waterproof,$110.70,credit_card,"2348 Oak Road, London, UK, M1 1AA",Delivered on 06/06/2025,Perfect! 5/5 stars
TXN-20250409-000036,CUST-ASIA-0190,richard martinez,RICHARD.MARTINEZ@EXAMPLE.COM,2025-04-09T12:48:32Z,BOOK-EBOOK-8242,Digital Marketing eBook,$48.69,CREDIT CARD,"5054 Main St, Phoenix, NY 61807",Shipped (est. arrival: April 14),Poor quality 😞
TXN-20240918-000037,CUST-US-0062,,david.williams@email.com,18/09/2024 22:55,ELEC-CAMERA-1307,Sony Camera A7,€1168.13,DEBIT CARD - Mastercard,"2816 Elm Street, Leeds, UK, B1 1AA",Delivered on 26/09/2024,Arrived damaged 😠
TXN-20250214-000038,CUST-ASIA-0203,SARAH GARCIA,sarah.garcia@test.com,2025-02-14T08:16:12Z,HOME-KITCHEN-3419,Wall Art Decoration,$254.72,Google Pay,"7602 Elm Street, Leeds, UK, L1 1AA",Processing,Not worth the price
TXN-20240603-000039,CUST-UK-0241,richard jones,richard.jones@example.com,03/06/2024 15:35,ELEC-PHONE-9307,Sony Camera A7,,Google Pay,"8215 Park Ave, Houston, NY 18109",Delivered on 13/06/2024,
TXN-20251225-000040,CUST-CA-0268,Mrs. Emma Jones,EMMA.JONES@EMAIL.COM,25/12/2025 21:21,BOOK-TEXTBOOK-5128,Business Magazine,$22.73,Apple Pay,"2113 Main St, Birmingham, UK, L1 1AA",Cancelled,Good value for money
TXN-20240405-000041,CUST-CA-0217,Emma Jones,EMMA.JONES@SHOP.COM,"April 5, 2024 at 7:53PM",ELEC-TABLET-2657,Bose Headphones,$123.61,Apple Pay,,Cancelled,Disappointed 😢
TXN-20250917-000042,CUST-UK-0384,,sarah.jones@test.com,2025-09-17T14:10:52Z,HOME-BEDDING-9239,LED Floor Lamp,$918.86,DEBIT CARD - Mastercard,"9086 Elm Street, London, UK, B1 1AA",Delivered on 2025-09-21,Poor quality 😞
TXN-20250323-000043,CUST-UK-0419,MRS. JOSEPH SMITH,JOSEPH.SMITH@SHOP.COM,"March 23, 2025 at 8:41PM",CLOTH-SHIRT-6221,Nike Running Shoes - Size 10,$58.53,credit_card,"7686 Park Ave, New York, NY 10688",Shipped (est. arrival: March 27),Arrived damaged 😠
TXN-20250624-000044,CUST-ASIA-0398,Mary Smith,,06/24/2025 11:09 AM,SPORT-FITNESS-9443,Ski Jacket Waterproof,$317.03,Credit Card (Mastercard),"8577 Main St, Liverpool, UK, L1 1AA",Delivered on 02/07/2025,
TXN-20250131-000045,CUST-US-0130,Mary Garcia,mary.garcia@email.com,2025-01-31T18:51:08Z,HOME-DECOR-8612,Queen Bedding Set,"€1,171.00",PayPal,,Cancelled - 02/02/2025,
TXN-20251024-000046,CUST-US-0400,Emma Jones,,"October 24, 2025 at 10:33PM",CLOTH-SHOES-9151,Summer Dress (M),$223.58,credit_card,"8938 Park Ave, New York, IL 23447",Processing,Perfect! 5/5 stars
TXN-20240619-000047,CUST-UK-0180,MRS. LINDA GARCIA,linda.garcia@example.com,"June 19, 2024 at 9:38AM",HOME-LIGHTING-3621,Modern Sofa Set,,DEBIT CARD - Mastercard,"6273 Main St, Liverpool, UK, M1 1AA",Cancelled - 20/06/2024,Arrived damaged 😠
TXN-20240520-000048,CUST-ASIA-0204,Sarah Johnson,sarah.johnson@test.com,2024-05-20T10:08:54Z,BOOK-NONFICTION-5678,Digital Marketing eBook,€25.54,DEBIT CARD - Mastercard,"5693 Elm Street, Liverpool, UK, B1 1AA",Processing,Poor quality 😞
TXN-20250105-000049,CUST-EU-0103,Mr. Lisa Smith,,"January 5, 2025 at 4:49PM",ELEC-TABLET-7523,Sony Camera A7,$193.81,CREDIT CARD,"5645 High Street, Phoenix, CA 82260",Cancelled,
TXN-20240507-000050,CUST-EU-0156,Joseph Lopez,joseph.lopez@example.com,07/05/2024 18:05,SPORT-TEAM-3050,Basketball Official,£306.11,DEBIT CARD - Mastercard,"9235 Elm Street, New York, NY 13718",Processing,Arrived damaged 😠
TXN-20250302-000051,CUST-CA-0456,Michael Davis,MICHAEL.DAVIS@EXAMPLE.COM,"March 2, 2025 at 1:09PM",BOOK-EBOOK-8609,Data Science Handbook,$38.74,DEBIT CARD - Mastercard,"8438 Park Ave, Manchester, UK, LS1 1AA",Delivered on 2025-03-08,
TXN-20240221-000052,CUST-CA-0197,  Mr. Linda Williams  ,linda.williams@shop.com,02/21/2024 08:25 AM,BOOK-TEXTBOOK-9148,The Great Gatsby [Paperback],31.67,Google Pay,"9790 Oak Road, Birmingham, UK, L1 1AA",Delivered on 2024-02-24,Not worth the price
TXN-20250216-000053,CUST-CA-0292,James Jones,JAMES.JONES@TEST.COM,2025-02-16T17:23:48Z,ELEC-CAMERA-7114,"MacBook Pro 14""",1224.80,credit_card,"5457 Elm Street, Leeds, UK, M1 1AA",Shipped (est. arrival: February 21),
TXN-20240615-000054,CUST-ASIA-0432,ms. james anderson,,"June 15, 2024 at 5:16PM",BOOK-MAGAZINE-6040,The Great Gatsby [Paperback],79.85,Google Pay,"2794 Elm Street, Leeds, UK, M1 1AA",Shipped (est. arrival: June 18),Excellent quality 👍
TXN-20240714-000055,CUST-UK-0078,  Ms. David Rodriguez  ,david.rodriguez@shop.com,14/07/2024 22:29,BOOK-MAGAZINE-7173,Python Programming,$59.16,PayPal,"4572 High Street, Birmingham, UK, B1 1AA",Shipped (est. arrival: July 20),Not worth the price
TXN-20250727-000056,CUST-ASIA-0141,,WILLIAM.RODRIGUEZ@SHOP.COM,"July 27, 2025 at 7:13PM",ELEC-TABLET-8247,"MacBook Pro 14""",£578.71,PayPal,"3973 Main St, Los Angeles, CA 79604",Delivered on 2025-08-04,Poor quality 😞
TXN-20240106-000057,CUST-UK-0081,Ms. Joseph Davis,joseph.davis@email.com,2024-01-06T19:54:59Z,ELEC-AUDIO-4804,Bose Headphones,€1846.87,Credit Card (Visa),"6505 High Street, Birmingham, UK, SW1A 1AA",Delivered on 12/01/2024,
TXN-20241209-000058,CUST-CA-0279,,,"December 9, 2024 at 8:36PM",HOME-DECOR-1230,Kitchen Mixer,€287.98,Credit Card (Mastercard),"6568 High Street, Manchester, UK, LS1 1AA",Processing,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20240924-000059,CUST-ASIA-0229,MICHAEL MARTINEZ,MICHAEL.MARTINEZ@SHOP.COM,"September 24, 2024 at 10:56PM",HOME-DECOR-7642,LED Floor Lamp,$1044.73,credit_card,"7835 Elm Street, Chicago, TX 89395",Cancelled,Average product
TXN-20251127-000060,CUST-CA-0042,patricia garcia,patricia.garcia@test.com,27/11/2025 08:13,CLOTH-DRESS-9525,Leather Jacket [L],45.46,credit_card,"8410 Oak Road, New York, AZ 83912",Processing,Perfect! 5/5 stars
TXN-20240917-000061,CUST-EU-0382,  Mr. John Miller  ,john.miller@example.com,"September 17, 2024 at 7:46PM",HOME-BEDDING-3948,Wall Art Decoration,,Apple Pay,"6155 Park Ave, Phoenix, CA 96742",Delivered on 21/09/2024,Poor quality 😞
TXN-20260115-000062,CUST-US-0428,Mrs. Michael Davis,,2026-01-15T19:56:56Z,ELEC-PHONE-7868,Bose Headphones,$451.86,Credit Card (Visa),"4010 Oak Road, Leeds, UK, M1 1AA",Shipped (est. arrival: January 18),
TXN-20241023-000063,CUST-ASIA-0295,MR. RICHARD HERNANDEZ,,"October 23, 2024 at 4:03PM",ELEC-AUDIO-3869,Sony Camera A7,£1359.12,credit_card,"4914 High Street, Houston, CA 80507",Processing,Poor quality 😞
TXN-20250419-000064,CUST-UK-0496,ROBERT MILLER,robert.miller@example.com,19/04/2025 12:43,ELEC-AUDIO-4120,iPhone 15 Pro Max (256GB),$1753.56,CREDIT CARD,"3556 High Street, Chicago, NY 53642",Shipped (est. arrival: April 22),Disappointed 😢
TXN-20240905-000065,CUST-EU-0361,Mr. Sarah Rodriguez,sarah.rodriguez@email.com,2024-09-05T19:20:58Z,BOOK-EBOOK-2615,Digital Marketing eBook,$38.16,credit_card,"266 Park Ave, Phoenix, TX 86550",Shipped (est. arrival: September 09),
TXN-20250806-000066,CUST-CA-0256,Dr. William Garcia,william.garcia@mail.com,06/08/2025 15:58,HOME-DECOR-3293,LED Floor Lamp,$973.46,Credit Card (Mastercard),"795 Oak Road, Manchester, UK, M1 1AA",Delivered on 2025-08-10,Not worth the price
TXN-20240302-000067,CUST-UK-0316,MRS. JOHN SMITH,JOHN.SMITH@EMAIL.COM,2024-03-02T22:33:09Z,SPORT-WATER-3937,Yoga Mat Premium,$319.40,Apple Pay,,Shipped (est. arrival: March 07),Excellent quality 👍
TXN-20251031-000068,CUST-US-0017,,david.rodriguez@shop.com,"October 31, 2025 at 10:14PM",HOME-LIGHTING-2562,LED Floor Lamp,1047.66,Credit Card (Mastercard),"4594 Elm Street, London, UK, M1 1AA",Processing,
TXN-20240731-000069,CUST-UK-0386,Michael Williams,michael.williams@test.com,"July 31, 2024 at 6:27AM",CLOTH-SHIRT-9204,Summer Dress (M),£115.37,DEBIT CARD - Mastercard,,Processing,
TXN-20250318-000070,CUST-UK-0300,  jennifer jones  ,jennifer.jones@shop.com,2025-03-18T15:48:17Z,ELEC-PHONE-1085,"MacBook Pro 14""",€220.23,Apple Pay,"1693 Elm Street, Phoenix, NY 56388",Processing,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20241025-000071,CUST-CA-0372,sarah martinez,SARAH.MARTINEZ@EMAIL.COM,10/25/2024 03:04 PM,BOOK-TEXTBOOK-7899,Python Programming,€32.19,Credit Card (Mastercard),"2220 Oak Road, Chicago, AZ 61864",Processing,Perfect! 5/5 stars
TXN-20251028-000072,CUST-CA-0165,,sarah.davis@email.com,10/28/2025 02:52 PM,BOOK-MAGAZINE-4971,Python Programming,£20.25,credit_card,"9013 Park Ave, Los Angeles, TX 70505",Delivered on 05/11/2025,
TXN-20241106-000073,CUST-UK-0367,Ms. Mary Davis,mary.davis@mail.com,11/06/2024 07:42 PM,HOME-LIGHTING-2392,Modern Sofa Set,$981.09,Apple Pay,"5433 Oak Road, London, UK, SW1A 1AA",Delivered on 2024-11-12,
TXN-20250817-000074,CUST-UK-0192,  william martinez  ,WILLIAM.MARTINEZ@MAIL.COM,08/17/2025 03:13 PM,CLOTH-DRESS-6110,Summer Dress (M),€153.33,Credit Card (Mastercard),,Shipped (est. arrival: August 21),Good value for money
TXN-20240612-000075,CUST-UK-0219,DAVID HERNANDEZ,user@domain,06/12/2024 12:13 AM,CLOTH-SHOES-8037,Leather Jacket [L],$217.05,CREDIT CARD,"3064 Park Ave, Houston, NY 35830",Cancelled,Perfect! 5/5 stars
TXN-20250917-000076,CUST-ASIA-0059,Lisa Martinez,lisa.martinez@test.com,2025-09-17T08:23:44Z,HOME-FURNITURE-4908,Kitchen Mixer,£601.04,credit_card,"7974 High Street, Liverpool, UK, M1 1AA",Cancelled - 18/09/2025,Disappointed 😢
TXN-20250926-000077,CUST-US-0184,,sarah.anderson@mail.com,09/26/2025 04:48 AM,BOOK-NONFICTION-2354,Business Magazine,£34.74,Google Pay,"9007 Elm Street, London, UK, B1 1AA",Processing,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20260106-000078,CUST-UK-0112,LINDA HERNANDEZ,linda.hernandez@mail.com,06/01/2026 11:47,ELEC-CAMERA-2923,Samsung Galaxy S24,,credit_card,"3386 Main St, Liverpool, UK, B1 1AA",Processing,Poor quality 😞
TXN-20241127-000079,CUST-ASIA-0294,JAMES HERNANDEZ,james.hernandez@mail.com,"November 27, 2024 at 7:53PM",CLOTH-PANTS-5090,Levis Jeans 32x34,€209.35,Apple Pay,"6147 Elm Street, New York, TX 93050",Processing,Not worth the price
TXN-20250410-000080,CUSTCA0168,Richard Anderson,richard.anderson@email.com,04/10/2025 03:20 PM,BOOK-NONFICTION-8039,Data Science Handbook,$59.26,DEBIT CARD - Mastercard,"794 Main St, Houston, NY 92074",Shipped (est. arrival: April 16),
TXN-20240726-000081,CUST-EU-0466,DR. MICHAEL WILLIAMS,michael.williams@example.com,07/26/2024 07:48 PM,CLOTH-SHIRT-7493,Summer Dress (M),$45.54,credit_card,"9727 Main St, Houston, NY 99126",Processing,Perfect! 5/5 stars
TXN-20251211-000082,CUST-US-0197,mr. mary johnson,mary.johnson@shop.com,11/12/2025 18:28,ELEC-AUDIO-1138,Bose Headphones,$1274.76,Google Pay,,Cancelled,Poor quality 😞
TXN-20240910-000083,CUST-EU-0044,,jennifer.lopez@email.com,09/10/2024 08:50 PM,CLOTH-SHOES-5842,Nike Running Shoes - Size 10,51.57,Credit Card (Visa),"5917 High Street, Leeds, UK, L1 1AA",Cancelled,Disappointed 😢
TXN20240315000084,CUST-US-0035,Mrs. John Smith,john.smith@mail.com,"March 15, 2024 at 7:05AM",SPORT-WINTER-3501,Basketball Official,,Credit Card (Mastercard),"5082 High Street, London, UK, M1 1AA",Delivered on 2024-03-23,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20241112-000085,CUSTUS0090,ROBERT LOPEZ,robert.lopez@test.com,12/11/2024 19:55,HOME-DECOR-7092,Wall Art Decoration,$203.54,CREDIT CARD,"1047 Oak Road, New York, TX 85582",Processing,
TXN-20250803-000086,CUST-US-0396,WILLIAM LOPEZ,,"August 3, 2025 at 10:11PM",ELEC-CAMERA-6963,Sony Camera A7,€118.96,DEBIT CARD - Mastercard,"4445 Elm Street, Birmingham, UK, SW1A 1AA",Delivered on 2025-08-07,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20250214-000087,CUST-ASIA-0239,michael garcia,michael.garcia@test.com,2025-02-14T23:49:49Z,CLOTH-SHOES-7033,Cotton T-Shirt,$272.12,Credit Card (Visa),"3818 Main St, Birmingham, UK, SW1A 1AA",Cancelled,
TXN-20250626-000088,CUST-UK-0215,DR. ROBERT LOPEZ,robert.lopez@test.com,2025-06-26T09:52:25Z,BOOK-FICTION-2565,Business Magazine,€61.10,Debit Card - Visa,"4277 Oak Road, Birmingham, UK, B1 1AA",Cancelled - 27/06/2025,Poor quality 😞
TXN-20250821-000089,CUST-EU-0055,Emma Miller,emma.miller@email.com,08/21/2025 05:53 AM,ELEC-LAPTOP-5984,Bose Headphones,$227.87,Credit Card (Visa),,Shipped (est. arrival: August 24),Poor quality 😞
TXN-20240504-000090,CUST-EU-0114,david garcia,DAVID.GARCIA@EXAMPLE.COM,2024-05-04T09:29:03Z,BOOK-NONFICTION-2506,Python Programming,€61.65,Apple Pay,"2832 Oak Road, Chicago, IL 34530",Shipped (est. arrival: May 07),
TXN-20240908-000091,CUST-CA-0452,  MRS. MARY JONES  ,mary.jones@test.com,09/08/2024 03:50 PM,SPORT-FITNESS-7266,Basketball Official,$293.68,DEBIT CARD - Mastercard,"9784 Elm Street, New York, TX 46822",Processing,
TXN-20240612-000092,CUST-EU-0337,Linda Wilson,linda.wilson@mail.com,06/12/2024 01:47 PM,CLOTH-PANTS-4875,Cotton T-Shirt,$185.64,PayPal,"8065 High Street, Leeds, UK, SW1A 1AA",Delivered on 2024-06-14,Good value for money
TXN-20250504-000093,CUST-EU-0104,  MR. ROBERT WILSON  ,robert.wilson@shop.com,05/04/2025 05:21 PM,HOME-FURNITURE-7120,Queen Bedding Set,€1464.52,DEBIT CARD - Mastercard,"2855 Elm Street, Liverpool, UK, B1 1AA",Shipped (est. arrival: May 11),Perfect! 5/5 stars
TXN-20241110-000094,CUST-CA-0001,RICHARD MARTINEZ,richard.martinez@test.com,10/11/2024 11:20,BOOK-NONFICTION-6425,The Great Gatsby [Paperback],$96.68,PayPal,"1111 Oak Road, New York, NY 24160",Cancelled - 12/11/2024,
TXN-20250519-000095,CUST-CA-0180,  LINDA DAVIS  ,linda.davis@example.com,2025-05-19T21:10:46Z,ELEC-PHONE-6600,Samsung Galaxy S24,$1886.58,Google Pay,"508 Oak Road, Los Angeles, AZ 95673",Shipped (est. arrival: May 22),
TXN-20240729-000096,CUST-CA-0210,  dr. patricia rodriguez  ,patricia.rodriguez@mail.com,29/07/2024 14:18,CLOTH-SHIRT-6911,Nike Running Shoes - Size 10,$188.06,Debit Card - Visa,"1343 Oak Road, Chicago, TX 25139",Cancelled - 31/07/2024,Perfect! 5/5 stars
TXN-20240708-000097,CUST-ASIA-0196,ms. john jones,john.jones@example.com,2024-07-08T14:48:37Z,ELEC-PHONE-6632,Bose Headphones,€168.92,CREDIT CARD,,Delivered on 16/07/2024,Good value for money
TXN-20250807-000098,CUST-CA-0410,,jennifer.williams@shop.com,"August 7, 2025 at 11:27PM",CLOTH-SHIRT-7936,Nike Running Shoes - Size 10,£195.62,Credit Card (Mastercard),"1426 Park Ave, Phoenix, IL 62082",Cancelled,Good value for money
TXN-20250305-000099,CUST-EU-0077,  Jennifer Wilson  ,jennifer.wilson@email.com,2025-03-05T17:30:02Z,BOOK-TEXTBOOK-7275,Digital Marketing eBook,£46.27,Credit Card (Visa),"6485 Park Ave, Manchester, UK, SW1A 1AA",Cancelled,
TXN-20241106-000100,CUST-US-0440,,sarah.williams@email.com,11/06/2024 09:26 PM,ELEC-LAPTOP-8237,Samsung Galaxy S24,$1057.18,credit_card,"1076 Elm Street, Houston, CA 76426",Delivered on 2024-11-10,Great product! 5 stars ⭐⭐⭐⭐⭐
TXN-20240912-000101,CUST-ASIA-0026,  Ms. Michael Garcia  ,,"September 12, 2024 at 4:22PM",BOOK-NONFICTION-8775,Business Magazine,$33.28,credit_card,"9376 High Street, Manchester, UK, M1 1AA",Shipped (est. arrival: September 17),Good value for money
TXN-20240121-000102,CUST-US-0350,robert hernandez,robert.hernandez@email.com,01/21/2024 03:13 PM,HOME-BEDDING-7168,Kitchen Mixer,£795.34,CREDIT CARD,"6132 Elm Street, Liverpool, UK, B1 1AA",Processing,Disappointed 😢
